	E054	E055	E056	E061	E062	E122
ENSG00000106952	0	0	0	2	5127	0
ENSG00000106976	21888	5729	9082	8300	221	370
ENSG00000106991	285	29433	140791	55731	3413	202771
ENSG00000106992	1728	1948	13546	18392	812	19000
ENSG00000106993	1080	1080	1067	2624	1241	965
ENSG00000107014	1	2	0	412	7	54
ENSG00000107018	5	0	2	60	7	8
ENSG00000107020	813	1303	2441	5734	353	622
ENSG00000107021	7020	7064	17017	20579	2707	30118
ENSG00000107036	4624	6336	8119	16776	7760	14813
ENSG00000107077	1981	3514	3534	6203	6064	3243
ENSG00000107099	218	2	23	9916	31815	683
ENSG00000107104	14476	1895	5017	26739	677	31132
ENSG00000107105	1087	2	5	1	0	25
ENSG00000107130	9596	10550	42429	47652	62	28966
ENSG00000107140	6287	6335	12522	17197	2399	9954
ENSG00000107147	10	6	0	2	82	0
ENSG00000107159	26	18	49	13	0	33
ENSG00000107164	10828	7860	17597	19695	3142	10328
ENSG00000107165	0	42	9	7259225	0	128
ENSG00000107175	3310	5277	18952	11516	1177	13935
ENSG00000107185	10249	14250	22052	23573	3731	18885
ENSG00000107186	21930	2319	4628	21800	6	19679
ENSG00000107187	0	0	0	0	4	0
ENSG00000107201	1084	644	747	3106	1561	3881
ENSG00000107223	7809	14787	55964	25989	4226	42375
ENSG00000107242	484	1	12	2	426	3
ENSG00000107249	4521	5930	7334	614	164	1311
ENSG00000107262	3393	3535	9859	14935	3342	8077
ENSG00000107263	16352	21047	40057	61729	36904	60302
ENSG00000107281	8488	7447	17341	1130	1006	35122
ENSG00000107282	2226	2002	14352	660	103	3447
ENSG00000107290	16488	9472	14985	18151	14108	24280
ENSG00000107295	329	34	22	96	0	50
ENSG00000107317	1264	96	1055	393	4866	3
ENSG00000107331	41032	8592	36365	40288	21230	16895
ENSG00000107338	1609	5196	13607	7951	250	7758
ENSG00000107341	11180	13340	31078	40555	7424	18278
ENSG00000107362	2097	1023	1549	6698	1725	5066
ENSG00000107371	1018	1567	5127	3014	485	2733
ENSG00000107372	9719	10289	21329	58719	25890	30949
ENSG00000107404	7046	16601	25608	17821	2010	13557
ENSG00000107438	2177	11038	20192	9613	1094	22245
ENSG00000107443	2421	919	883	2667	1076	14363
ENSG00000107447	0	0	0	0	7	0
ENSG00000107485	0	55	132	2	3685	4488
ENSG00000107518	2181	242	448	4595	3	7
ENSG00000107521	8109	22097	46399	140537	9137	35883
ENSG00000107537	2579	3020	4280	8540	428	1289
ENSG00000107551	4569	356	887	1222	7692	5719
ENSG00000107554	6452	12506	34207	10399	3375	30754
ENSG00000107560	2397	4097	3374	11270	2759	2239
ENSG00000107562	16	153	4951	35	2	186
ENSG00000107566	3334	11840	24290	16205	906	20733
ENSG00000107581	34788	46835	44808	15760	21927	21681
ENSG00000107593	3	2	2	9	9	0
ENSG00000107611	1376	638	886	4342	2269	6631
ENSG00000107614	2154	1423	1708	3625	1023	2803
ENSG00000107618	1	0	0	0	0	0
ENSG00000107623	0	0	2	0	2	0
ENSG00000107625	3150	4899	4270	6751	2299	4420
ENSG00000107643	4597	2987	3686	7170	3666	11224
ENSG00000107651	4674	6063	13744	16811	1952	14575
ENSG00000107669	4394	3681	4775	16775	1963	7290
ENSG00000107672	2677	2853	6500	4977	2629	8621
ENSG00000107679	2088	3623	4713	13574	4546	16407
ENSG00000107719	2386	891	2098	64	185	18513
ENSG00000107731	1803	37603	43835	64	117	649
ENSG00000107736	63	6	8	11	3906	6
ENSG00000107738	34	2952	3317	45	55714	3218
ENSG00000107742	3312	20	22	110	59778	256
ENSG00000107745	8125	7748	16707	24913	2896	9880
ENSG00000107758	5445	8047	14688	18568	3321	5196
ENSG00000107771	11895	10934	9182	20353	10153	13168
ENSG00000107779	7213	2839	3049	7731	265	6
ENSG00000107789	1919	2449	4483	9025	176	6409
ENSG00000107796	8359	4150	18862	5584	357	1331
ENSG00000107798	5991	6297	11778	61184	5573	12140
ENSG00000107807	2	2	0	0	0	21
ENSG00000107815	1938	2881	3788	4824	439	3012
ENSG00000107816	8105	15324	37860	44010	1379	30018
ENSG00000107819	4149	13682	41806	47564	5116	52319
ENSG00000107821	115	1516	5569	173	29	722
ENSG00000107829	2658	5132	7572	10474	3697	8966
ENSG00000107831	0	0	0	2	0	4
ENSG00000107833	1168	3055	5232	2085	137	7747
ENSG00000107854	15303	8602	7106	24332	11930	15939
ENSG00000107859	23	34	136	5	0	0
ENSG00000107862	27605	24264	86871	55278	10199	31969
ENSG00000107863	54240	33057	28452	11301	4549	23791
ENSG00000107864	365	231	522	911	553	865
ENSG00000107872	750	1352	4244	5330	819	8535
ENSG00000107874	6550	7888	17301	24767	1313	16309
ENSG00000107882	6478	3250	8792	24736	1807	9567
ENSG00000107890	3345	1536	2145	990	825	1209
ENSG00000107897	7488	2462	2584	13357	2488	4601
ENSG00000107902	2679	1102	2950	10000	1882	2168
ENSG00000107929	6766	13066	24159	21762	5446	23224
ENSG00000107937	5729	9588	11569	12073	3497	10713
ENSG00000107938	2832	2520	2942	3874	3126	4918
ENSG00000107949	5714	4741	5691	6159	1978	3241
ENSG00000107951	2398	2224	3924	7388	1765	3351
ENSG00000107954	1451	499	793	343	1147	64
ENSG00000107957	3529	20056	65961	56696	2555	3269
ENSG00000107959	10259	35480	64186	58378	5803	46759
ENSG00000107960	588	3583	3410	2382	1552	2675
ENSG00000107968	1195	86	340	836	8468	1928
ENSG00000107984	2843	23095	45858	876	0	53685
ENSG00000108001	19	1027	2069	7	16	684
ENSG00000108010	3926	9049	16399	10168	1831	10923
ENSG00000108018	15037	32	121	3155	0	0
ENSG00000108021	10642	12024	11511	13692	8146	13516
ENSG00000108039	11478	6009	16839	43663	5851	40162
ENSG00000108055	8783	5659	10132	2061	5054	3071
ENSG00000108061	4461	5691	5172	11866	3751	7625
ENSG00000108064	2858	3474	5267	7472	2131	5519
ENSG00000108091	8717	16869	24156	16460	6310	18521
ENSG00000108094	4320	4469	6009	7483	2958	8450
ENSG00000108100	8481	9858	17440	18894	9853	32355
ENSG00000108106	2194	14379	22571	18048	455	26525
ENSG00000108175	39113	21084	59651	131203	15102	16784
ENSG00000108176	452	13	14	725	0	94
ENSG00000108179	4992	8712	42421	48630	7885	15662
ENSG00000108187	1852	622	616	1657	372	572
ENSG00000108219	29710	7577	19674	154459	23942	124643
ENSG00000108231	1043	0	0	0	0	0
ENSG00000108239	4236	1212	1566	4596	791	2293
ENSG00000108242	0	0	0	2	2	2
ENSG00000108244	0	2	32	0	64	0
ENSG00000108255	0	0	0	0	9	0
ENSG00000108256	12261	7798	17637	19309	14349	12931
ENSG00000108262	15395	12854	34310	61756	6265	56260
ENSG00000108264	2172	2908	2630	2262	434	2996
ENSG00000108270	3818	8530	14498	10914	3930	4031
ENSG00000108272	1057	1203	3169	2067	150	3675
ENSG00000108278	1907	1984	4195	4481	1362	6352
ENSG00000108292	17377	15307	34014	36199	44230	38616
ENSG00000108294	4288	7676	34941	18084	3122	70487
ENSG00000108296	2064	3046	4231	3986	3463	5542
ENSG00000108306	5057	3555	5590	11981	5793	9883
ENSG00000108309	2937	9	26	222	18	31
ENSG00000108312	15712	16223	36980	22030	8634	10222
ENSG00000108342	2	478	586	0	0	277
ENSG00000108344	16669	22399	68562	34141	5582	48057
ENSG00000108349	15507	17943	36475	37338	9185	38877
ENSG00000108352	2488	397	887	1454	679	5283
ENSG00000108370	40	82	61	37	587	97
ENSG00000108375	47	5	2	547	3506	10
ENSG00000108379	555	79	151	133	26	479
ENSG00000108381	16	0	0	29747	2	9
ENSG00000108384	1057	1508	2106	4543	401	3371
ENSG00000108387	184	37	127	19489	42	1058
ENSG00000108389	8477	6800	14495	25442	4273	17439
ENSG00000108395	9592	4001	4430	12153	1545	14234
ENSG00000108405	0	0	0	1	5540	7
ENSG00000108406	12707	4871	3949	14239	3456	8796
ENSG00000108417	0	0	0	0	0	0
ENSG00000108423	691	171	322	792	305	1029
ENSG00000108424	40657	61597	100811	49128	11532	46267
ENSG00000108433	5723	6458	12341	11687	2055	25195
ENSG00000108439	1937	4284	13633	14449	405	12898
ENSG00000108448	919	1039	1012	10550	100	3419
ENSG00000108465	7221	7280	12774	12266	8917	26930
ENSG00000108468	8608	4249	9310	10497	1000	7439
ENSG00000108469	3026	4272	4417	7792	1247	4190
ENSG00000108474	757	1330	1803	1520	1377	4577
ENSG00000108479	714	2203	9557	9615	479	13858
ENSG00000108506	2676	2405	2472	5110	1264	5725
ENSG00000108509	4686	23567	33712	41419	7682	16929
ENSG00000108510	19464	11636	11760	20394	11112	19706
ENSG00000108511	0	2	22	4140	5	3636
ENSG00000108515	2163	7125	287	1102	7480	1574
ENSG00000108518	28990	147390	515598	204949	43946	336055
ENSG00000108523	8333	13388	26705	37685	4906	22759
ENSG00000108528	4957	5228	16054	28767	1697	24131
ENSG00000108551	307	169	423	37	207	1941
ENSG00000108556	76	192	46	551	709	494
ENSG00000108557	15186	16316	38010	65341	2816	8837
ENSG00000108559	4146	6886	8022	7171	2787	13617
ENSG00000108561	5910	16688	35907	33317	2481	21226
ENSG00000108576	4	0	4	15	76	68
ENSG00000108578	3834	2229	6092	14136	1881	10071
ENSG00000108582	9144	12411	15351	22311	9048	33137
ENSG00000108587	4672	5388	9416	12269	2907	6792
ENSG00000108588	10014	6819	7640	9788	2297	8653
ENSG00000108590	548	643	2952	1530	179	2190
ENSG00000108591	4363	6877	12174	11774	2339	16235
ENSG00000108592	6481	8008	21664	7916	2126	17524
ENSG00000108599	3114	3382	3634	7020	3521	6929
ENSG00000108602	7	4	4	41	0	61
ENSG00000108604	2125	13122	32788	47258	5238	23627
ENSG00000108622	1	110	130	8	2354	434865
ENSG00000108639	516	4504	13127	4001	8879	90429
ENSG00000108641	764	1861	3975	2291	84	6745
ENSG00000108651	2695	4973	5198	7063	1372	4244
ENSG00000108654	53329	39268	52341	112264	91504	258552
ENSG00000108666	910	1869	1082	2626	404	1620
ENSG00000108669	2506	1609	4868	8434	27444	13497
ENSG00000108671	8982	10623	34989	31139	4040	36905
ENSG00000108679	14927	4897	14217	425332	2223	374
ENSG00000108684	4	24	163	3	0	0
ENSG00000108688	0	6	32	1	21	55
ENSG00000108691	301	95	589	860	77	60182
ENSG00000108700	0	4	0	0	2	0
ENSG00000108702	0	0	0	0	0	0
ENSG00000108733	1294	1493	1397	2094	120	2215
ENSG00000108753	0	0	0	2	0	2
ENSG00000108759	0	1	5	1	0	0
ENSG00000108771	47	839	1064	3907	1739	3284
ENSG00000108773	14492	9466	15731	12686	3894	18564
ENSG00000108774	19527	22012	82105	89212	11819	109217
ENSG00000108784	6755	5709	14469	71860	1529	25823
ENSG00000108785	63	11	2	11	32	4
ENSG00000108786	562	474	232	206	292	93
ENSG00000108788	3805	6864	16508	24582	3664	14383
ENSG00000108797	4055	8406	22304	29479	1027	28276
ENSG00000108798	0	9	181	7	2966	13361
ENSG00000108799	6388	7676	6662	9012	7319	12016
ENSG00000108813	8	2	2	6	45	2
ENSG00000108821	34	347562	2367448	3983	76	51
ENSG00000108823	4	11	21	1	14	0
ENSG00000108825	1992	3610	6088	5219	1128	6619
ENSG00000108828	14630	49875	138270	683549	2986	182771
ENSG00000108829	10758	28770	117766	34812	4747	51354
ENSG00000108830	7042	74	102	1629	30	613
ENSG00000108839	131	51	5	0	482	1
ENSG00000108840	10799	14913	42563	19280	4934	22804
ENSG00000108846	10	8072	28118	7	2152	1851
ENSG00000108848	21490	9377	9725	4899	15727	15725
ENSG00000108849	0	0	0	0	1	0
ENSG00000108852	3359	216	929	2192	155	975
ENSG00000108854	4199	20006	17643	3682	2287	16490
ENSG00000108861	7280	8592	22365	71633	3315	40223
ENSG00000108878	38	0	0	0	14	0
ENSG00000108883	17248	15014	43652	48656	6780	70551
ENSG00000108924	263	35	28	40	163	2
ENSG00000108932	21	215	177	176643	2380	349
ENSG00000108946	19350	22524	37249	124603	8635	42620
ENSG00000108947	5447	459	895	11238	0	1849
ENSG00000108950	30	206	48	6	99	0
ENSG00000108953	94598	77875	173850	147393	5087	114298
ENSG00000108960	1735	1198	4894	5260	1646	2440
ENSG00000108961	1700	3428	6823	7237	1096	8196
ENSG00000108963	5032	11629	23102	24316	3757	30936
ENSG00000108984	1256	34	15	2662	585	1526
ENSG00000109016	1566	1195	3507	4547	273	5169
ENSG00000109046	25793	10356	13358	34158	6381	243353
ENSG00000109047	2	8	54	16	148	0
ENSG00000109061	3	0	2	2	1	0
ENSG00000109062	3086	3556	18197	13725	9367	6578
ENSG00000109063	436	167	156	40	579	66
ENSG00000109065	2482	4359	5779	5518	1599	10172
ENSG00000109066	8747	5285	26707	17955	4050	13637
ENSG00000109072	115	39	25	30	162	248
ENSG00000109079	12772	7056	22783	23877	1034	65132
ENSG00000109083	1144	1578	3143	2348	839	3647
ENSG00000109084	7760	4820	23380	28582	477	10192
ENSG00000109089	3059	4607	21268	6988	27	16115
ENSG00000109099	4327	9306	30786	81626	134	34987
ENSG00000109101	0	0	0	0	0	0
ENSG00000109103	2423	2357	6259	13903	5135	19291
ENSG00000109107	3211	3650	20386	12759	1177	4881
ENSG00000109111	27742	28833	52995	47855	17401	34819
ENSG00000109113	5837	26918	70504	29848	1325	22756
ENSG00000109118	21554	10236	21614	21142	13887	12358
ENSG00000109132	0	0	0	0	0	0
ENSG00000109133	6231	5924	13541	34384	4232	18877
ENSG00000109158	34	0	0	0	2	0
ENSG00000109163	9	1	0	0	13	0
ENSG00000109171	6452	11726	18389	18877	3541	6100
ENSG00000109180	7268	9961	13467	19568	3737	12157
ENSG00000109181	2	0	0	7	0	0
ENSG00000109182	0	4	0	3	0	0
ENSG00000109184	4613	3424	4704	10979	1195	6717
ENSG00000109189	4888	2812	3184	9045	887	4864
ENSG00000109193	0	39	44	0	0	11235
ENSG00000109205	0	0	0	0	0	0
ENSG00000109208	2	0	0	0	0	0
ENSG00000109220	1445	3132	6754	2668	1086	5464
ENSG00000109255	142	2	0	10	2	186
ENSG00000109265	7659	305	321	12875	18	705
ENSG00000109270	4569	2879	2391	13163	1652	6659
ENSG00000109272	0	4	37	7	27	4
ENSG00000109320	2000	6644	13139	19895	7253	15902
ENSG00000109321	0	206	276	0	2947	31
ENSG00000109323	2318	1762	2483	9570	5130	1989
ENSG00000109332	14086	29050	57142	73706	25654	67548
ENSG00000109339	5869	64	37	132	5	19
ENSG00000109381	4015	2273	4298	5178	7540	7251
ENSG00000109390	1336	2337	8174	10289	447	8075
ENSG00000109424	2	2	0	4	2	0
ENSG00000109436	2078	4709	6799	6129	4259	24856
ENSG00000109445	1470	4336	3026	17077	1922	3372
ENSG00000109452	712	4794	7648	55706	3294	525
ENSG00000109458	18225	1300	2615	15132	817	7483
ENSG00000109466	2363	2251	1865	3871	2473	4180
ENSG00000109471	0	0	0	1	15	0
ENSG00000109472	25897	178	459	67	2	1120
ENSG00000109501	11020	6383	29580	39677	196	50911
ENSG00000109511	0	5	3	0	5	0
ENSG00000109519	1911	4517	8331	9070	2623	6288
ENSG00000109534	926	2216	4290	4588	358	2556
ENSG00000109536	1115	2201	3481	3272	1905	1071
ENSG00000109572	19367	11642	6951	65507	1443	17689
ENSG00000109576	1809	1469	2081	3567	4	876
ENSG00000109586	2946	2429	3186	10640	1142	13281
ENSG00000109606	18031	13972	21162	44333	14093	36738
ENSG00000109610	54	487	1632	1044	0	2
ENSG00000109618	2105	1444	820	3886	2112	2400
ENSG00000109625	0	209	261	4	0	0
ENSG00000109654	15578	5065	5433	105228	171	4240
ENSG00000109667	24	205	828	431	758	495
ENSG00000109670	3655	979	1794	2761	4120	2142
ENSG00000109674	659	947	2262	1758	27	1680
ENSG00000109680	1006	1282	1547	3882	247	1367
ENSG00000109684	1	0	0	0	77	2
ENSG00000109685	26024	32579	62038	23466	5238	35897
ENSG00000109686	13588	14485	19566	16398	1705	21583
ENSG00000109689	20278	2984	5735	7554	6523	4774
ENSG00000109705	10	6	75	9	0	0
ENSG00000109736	7986	15191	29934	23294	5249	31901
ENSG00000109738	1371	820	918	250	0	1869
ENSG00000109743	88	302	845	5578	3118	3601
ENSG00000109756	13896	5328	5803	13946	6466	21102
ENSG00000109758	436	7	9	12	7	123
ENSG00000109762	1864	1856	2302	19234	741	2528
ENSG00000109771	621	59	58	114	237	165
ENSG00000109775	3634	2712	3116	7643	611	6176
ENSG00000109787	8401	9566	11290	14260	23670	21563
ENSG00000109790	6271	3926	6530	9456	4167	12312
ENSG00000109794	1398	139	369	5782	10	28
ENSG00000109805	3618	5007	9534	4110	357	8901
ENSG00000109814	3209	7891	20201	8958	213	9500
ENSG00000109819	3341	80	29	3208	9	0
ENSG00000109832	1553	4	3	768	3	5
ENSG00000109846	493	857	3688	11741	0	32
ENSG00000109851	0	2	0	3	0	0
ENSG00000109854	137	1184	1773	9847	1072	7680
ENSG00000109861	2307	13985	29222	12166	7927	49990
ENSG00000109881	1920	1300	2272	1186	40	841
ENSG00000109906	284	3492	8002	8	3958	2998
ENSG00000109911	1634	1257	2368	3033	559	3489
ENSG00000109917	3438	7179	12486	9101	3724	8602
ENSG00000109919	7381	8952	25120	41205	1602	16936
ENSG00000109920	10247	9423	9912	15634	15610	33027
ENSG00000109927	753	202	126	479	162	824
ENSG00000109929	7820	4047	7726	23902	2826	13846
ENSG00000109943	2	0	0	0	623	0
ENSG00000109944	506	104	171	1376	150	780
ENSG00000109956	22697	6	4	371	1462	6
ENSG00000109971	130741	75743	235349	362630	36473	376318
ENSG00000109991	9	0	0	1	1	5
ENSG00000110002	1251	337	1343	2320	501	3853
ENSG00000110011	2162	2482	6444	15096	2466	10660
ENSG00000110013	2890	3710	5156	9102	1670	13194
ENSG00000110025	3949	12348	26187	28024	1599	23630
ENSG00000110031	553	4960	10043	3631	4069	2068
ENSG00000110042	11615	163	625	10392	1238	82
ENSG00000110046	7904	9959	24506	42204	15214	14203
ENSG00000110047	9197	21680	79604	25080	12520	45181
ENSG00000110048	8541	8647	14362	22090	5194	12094
ENSG00000110057	2432	3058	9423	13428	6867	6334
ENSG00000110060	792	825	1253	2000	291	1329
ENSG00000110063	1756	2951	7515	11783	939	8922
ENSG00000110066	7244	3220	2506	6664	2568	5118
ENSG00000110074	3221	3077	9528	8014	1139	8300
ENSG00000110075	14738	10713	14469	26143	10676	23054
ENSG00000110076	7380	230	594	81	88	3
ENSG00000110077	0	0	0	2	7962	918
ENSG00000110079	0	0	0	0	271	30
ENSG00000110080	2062	3893	13089	148385	1333	6095
ENSG00000110090	9709	3482	13090	19221	9402	22574
ENSG00000110092	19435	47492	256852	197123	97	75246
ENSG00000110104	3024	11461	25940	16334	648	10675
ENSG00000110107	9818	15230	36784	19164	3432	32683
ENSG00000110108	4869	15085	69079	55319	5336	48427
ENSG00000110148	13	0	0	0	1	2
ENSG00000110169	84	57	73	65	32	440
ENSG00000110171	3900	3016	9397	11566	1564	9044
ENSG00000110172	2304	2570	2211	7352	3603	2565
ENSG00000110195	24	0	0	0	0	0
ENSG00000110200	2912	3210	7097	4988	1287	7417
ENSG00000110203	0	46	33	2	241	8
ENSG00000110218	4157	3176	6041	15517	670	4935
ENSG00000110237	14019	16561	45138	37586	80	52021
ENSG00000110243	2	0	3	6	0	0
ENSG00000110244	0	0	0	0	0	0
ENSG00000110245	0	0	2	0	0	0
ENSG00000110274	6176	10141	16148	10128	3929	13857
ENSG00000110315	5395	3246	4718	12868	2703	6747
ENSG00000110318	645	1120	1190	701	661	3509
ENSG00000110321	129529	174170	274817	190345	56055	241501
ENSG00000110324	4	6	4	21	37771	63
ENSG00000110328	280	408	1412	5279	10	106
ENSG00000110330	6306	6819	9218	10078	4126	12509
ENSG00000110344	14191	11230	18481	32888	7300	14756
ENSG00000110367	15046	10818	16055	21020	20558	15030
ENSG00000110375	90	30	18	35	96	17
ENSG00000110395	21375	13242	19242	32053	9689	30131
ENSG00000110400	5549	2165	18349	18411	926	6797
ENSG00000110422	7649	5906	11948	28794	12977	19922
ENSG00000110427	12907	5536	32808	23188	7	8615
ENSG00000110429	4666	2797	3969	9791	5784	8068
ENSG00000110435	2418	2326	3618	7947	821	3912
ENSG00000110436	33630	723	245	31	76	0
ENSG00000110442	4041	3783	12513	18389	2947	13477
ENSG00000110446	214	214	680	971	4716	715
ENSG00000110448	15	2	0	2	14970	0
ENSG00000110455	772	985	1953	5525	5738	8737
ENSG00000110484	0	0	0	0	0	0
ENSG00000110492	2824	2815	10774	7427	120	109603
ENSG00000110497	6603	5011	11847	20359	2906	12142
ENSG00000110514	11563	10154	22942	33047	17315	19143
ENSG00000110536	4154	3664	8835	10978	2160	12753
ENSG00000110583	7332	3843	8600	9082	2858	20571
ENSG00000110619	6579	28702	12523	10611	3808	17189
ENSG00000110628	826	2066	4002	29303	1650	602
ENSG00000110651	47431	58135	190444	296205	8617	155112
ENSG00000110660	147	2079	5706	3178	289	23960
ENSG00000110665	3	0	2	10	13273	0
ENSG00000110675	115	52	179	2	0	511
ENSG00000110680	4	4	27	1	8	0
ENSG00000110693	16762	52	26	10513	117	191
ENSG00000110696	9161	10357	11651	24857	6375	14803
ENSG00000110697	5037	5887	18264	29000	10693	14864
ENSG00000110711	4398	5171	14917	19427	4035	24547
ENSG00000110713	13251	24547	51530	37948	11519	49276
ENSG00000110717	4476	7555	33893	29844	3046	23193
ENSG00000110719	234	15112	67609	13676	30086	69372
ENSG00000110721	7116	1563	2990	19116	2629	8134
ENSG00000110723	121	741	726	22	330	24
ENSG00000110756	3158	4240	4151	26739	828	3456
ENSG00000110768	4742	9414	7076	19175	1229	5511
ENSG00000110777	0	1	0	3	1536	2
ENSG00000110786	155	5	4	0	0	2
ENSG00000110799	18	415	1230	239	272	1761173
ENSG00000110801	2791	7527	18248	16780	1877	16856
ENSG00000110811	1944	4921	33179	18725	105	28703
ENSG00000110841	1771	40601	47106	31782	250	39232
ENSG00000110844	5301	3588	4589	7002	1633	2567
ENSG00000110848	0	0	0	0	13744	976
ENSG00000110851	4979	9460	11435	12511	4621	17499
ENSG00000110852	89	118	577	551	4146	1480
ENSG00000110871	2417	2714	2610	7916	549	5587
ENSG00000110876	118	334	1209	112	18725	501
ENSG00000110880	31309	36974	119739	71819	5932	64989
ENSG00000110881	10580	460	1756	4933	332	533
ENSG00000110887	3	2	1	12	0	0
ENSG00000110888	4713	2366	6409	8833	3556	6447
ENSG00000110900	24012	41	140	882	0	2069
ENSG00000110906	4857	13153	42227	29071	4682	65640
ENSG00000110911	8548	3577	6947	35753	4596	22613
ENSG00000110917	27371	16304	70329	220090	3330	24898
ENSG00000110921	2419	4833	14026	18474	383	13081
ENSG00000110925	7465	5601	9331	17075	1527	18401
ENSG00000110931	4353	5540	20610	19914	4764	21595
ENSG00000110934	0	0	1	0	23577	0
ENSG00000110944	7	35	22	20	258	17
ENSG00000110955	47027	95877	161934	264936	25686	242313
ENSG00000110958	11415	17476	50945	47930	6526	13932
ENSG00000110975	3	0	0	0	0	1
ENSG00000110987	8613	2399	11591	9204	863	5979
ENSG00000111011	6967	6605	5979	5008	11563	6228
ENSG00000111012	121	166	122	131	45	308
ENSG00000111046	0	6	17	0	2	2
ENSG00000111049	0	0	2	0	0	0
ENSG00000111052	1048	2271	3462	12	1012	880
ENSG00000111057	1	547	4012	34	100	50229
ENSG00000111058	2733	1196	722	83	10	70
ENSG00000111077	4333	45568	113165	24541	293	60052
ENSG00000111087	139	616	399	518	169	75
ENSG00000111110	690	181	74	25011	386	1241
ENSG00000111142	10741	9746	9881	12143	3522	9517
ENSG00000111144	5306	7606	7149	30626	15073	34563
ENSG00000111145	4816	41088	86527	21007	4220	43814
ENSG00000111181	48	0	0	40	175	0
ENSG00000111186	522	11830	29063	20	8	13
ENSG00000111196	565	1524	2460	2120	311	1262
ENSG00000111199	15	348	1903	1844	67	14987
ENSG00000111203	3372	4909	6604	12032	4259	7998
ENSG00000111206	12703	28360	56330	73715	838	22105
ENSG00000111215	1057	1012	1195	2579	663	1372
ENSG00000111218	6	0	2	0	0	0
ENSG00000111224	2706	1758	1650	5354	1407	2152
ENSG00000111229	4846	15574	30086	33741	10684	3810
ENSG00000111231	712	1749	2526	2905	282	3529
ENSG00000111237	2514	4357	8217	15274	4328	14425
ENSG00000111241	0	0	0	0	3	0
ENSG00000111245	0	0	0	0	0	4
ENSG00000111247	1524	1630	2858	2119	90	2104
ENSG00000111249	422	0	2	1	169	2
ENSG00000111252	2172	48899	124759	27686	22663	74183
ENSG00000111254	181	99	23	171	35	76
ENSG00000111261	1683	752	1099	1211	104	12490
ENSG00000111262	3	4	23	2	0	0
ENSG00000111266	5594	882	920	11689	3038	6258
ENSG00000111269	3029	3982	5494	44762	1877	6914
ENSG00000111271	5426	3880	6742	11735	2439	5567
ENSG00000111275	6886	4875	13240	12005	9311	25295
ENSG00000111276	5861	2321	2771	20875	6370	5970
ENSG00000111291	0	5	5	8	47	8
ENSG00000111300	3911	3881	4741	8442	4323	4638
ENSG00000111305	31	84	871	2	6	0
ENSG00000111319	3	67	150	3	148	45
ENSG00000111321	8	23335	47039	51815	3070	22828
ENSG00000111325	1569	2214	3708	3400	1140	6276
ENSG00000111328	33415	15038	50911	77152	1429	63974
ENSG00000111331	1699	1516	13916	12068	7052	8640
ENSG00000111335	2	36	232	9848	4784	1212
ENSG00000111339	6	4	0	0	2	10864
ENSG00000111341	3	9	67	2	80	114398
ENSG00000111344	5	0	0	2	51	1
ENSG00000111348	114	94	5601	732	54454	197519
ENSG00000111358	2690	5606	5012	7056	815	5656
ENSG00000111361	4716	5902	13447	11705	3379	13439
ENSG00000111364	2099	2770	5242	7544	1913	5417
ENSG00000111371	3376	21301	10986	2	11496	12358
ENSG00000111404	2	15	0	0	0	0
ENSG00000111405	33	81	42	1	10	10
ENSG00000111412	4056	3945	7787	22383	1385	15953
ENSG00000111424	15	5749	9595	2338	1934	514
ENSG00000111432	0	5	1204	285	0	0
ENSG00000111445	1859	1761	7113	3832	676	4775
ENSG00000111450	3843	7261	14284	12420	2258	15853
ENSG00000111452	0	736	174	122	457	17
ENSG00000111481	15187	21043	56026	50755	4198	55362
ENSG00000111490	152	59	21	48	296	1648
ENSG00000111530	23636	10540	16177	38012	6874	24648
ENSG00000111536	2	0	0	0	37	0
ENSG00000111537	0	0	0	0	76	0
ENSG00000111540	20653	18304	60781	184121	7046	65634
ENSG00000111554	1721	1133	911	2305	1252	1361
ENSG00000111581	4863	3779	4934	6395	2177	8261
ENSG00000111596	6963	7670	8123	13612	6450	11758
ENSG00000111602	7793	4563	17649	10511	933	4584
ENSG00000111605	14389	10871	21321	25263	7189	38116
ENSG00000111615	3242	4504	2995	4645	7022	1863
ENSG00000111640	331487	1229223	3003616	823474	98963	1977247
ENSG00000111641	4044	10161	17973	18738	4123	13007
ENSG00000111642	52533	39330	88518	85680	17855	45317
ENSG00000111644	97	79	54	26	721	726
ENSG00000111647	4166	2985	4323	4888	3974	2431
ENSG00000111652	7261	15500	48288	42682	1517	33736
ENSG00000111653	3884	1532	2203	8000	1107	11544
ENSG00000111664	1170	438	1163	451	24	4007
ENSG00000111665	1580	3609	9243	5431	34	7824
ENSG00000111666	1792	2580	5999	26401	2470	3504
ENSG00000111667	17575	11726	42183	33802	2856	41137
ENSG00000111669	25692	58055	199677	99463	7639	211662
ENSG00000111670	6072	2985	6509	58950	10210	15825
ENSG00000111671	464	1065	1700	2942	298	1023
ENSG00000111674	14263	4402	9603	22949	2355	4374
ENSG00000111676	47993	62653	141665	116458	5031	39769
ENSG00000111678	5582	6059	24720	20141	2918	48260
ENSG00000111679	56	6	22	65	15070	80
ENSG00000111684	3986	4291	14568	17395	3877	15601
ENSG00000111696	889	3037	9904	7685	604	2082
ENSG00000111700	0	0	0	1	0	3
ENSG00000111701	0	0	0	0	0	0
ENSG00000111704	14	8	12	13	0	15
